billing_id,customer_key,billing_date,billing_type,consumption_kwh,amount,payment_status
1,1,2023-01-15,Electricity,486,206.16,Bezahlt
2,1,2023-02-15,Electricity,569,217.32,Bezahlt
3,1,2023-03-15,Electricity,403,168.2,Bezahlt
4,1,2023-04-15,Electricity,414,137.5,Bezahlt
5,1,2023-05-15,Electricity,397,171.24,Bezahlt
6,1,2023-06-15,Electricity,292,103.25,Bezahlt
7,1,2023-07-15,Electricity,266,95.45,Bezahlt
8,1,2023-08-15,Electricity,252,100.65,Bezahlt
9,1,2023-09-15,Electricity,360,154.78,Bezahlt
10,1,2023-10-15,Electricity,420,144.94,Bezahlt
11,1,2023-11-15,Electricity,534,178.12,Bezahlt
12,1,2023-12-15,Electricity,523,221.27,Offen
13,1,2024-01-15,Electricity,535,206.79,Bezahlt
14,1,2024-02-15,Electricity,506,205.87,Bezahlt
15,1,2024-03-15,Electricity,456,175.69,Bezahlt
16,1,2024-04-15,Electricity,362,152.68,Bezahlt
17,1,2024-05-15,Electricity,409,136.18,Bezahlt
18,1,2024-06-15,Electricity,287,101.35,Bezahlt
19,1,2024-07-15,Electricity,313,117.66,Bezahlt
20,1,2024-08-15,Electricity,282,107.67,Bezahlt
21,1,2024-09-15,Electricity,403,143.92,Bezahlt
22,1,2024-10-15,Electricity,388,138.48,Bezahlt
23,1,2024-11-15,Electricity,440,145.62,Bezahlt
24,1,2024-12-15,Electricity,634,263.99,Bezahlt
25,1,2025-01-15,Electricity,485,191.51,Bezahlt
26,1,2025-02-15,Electricity,500,174.86,Überfällig
27,1,2025-03-15,Electricity,506,208.88,Bezahlt
28,1,2025-04-15,Electricity,455,173.79,Bezahlt
29,1,2025-05-15,Electricity,450,173.29,Bezahlt
30,1,2025-06-15,Electricity,357,121.05,Überfällig
31,2,2023-01-15,Electricity,706,230.52,Bezahlt
32,2,2023-02-15,Electricity,578,217.92,Bezahlt
33,2,2023-03-15,Electricity,537,224.87,Bezahlt
