transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
1,2022-08-01,1,25,90,11,10639,748.11,Rejected,Ausschreibung,510,2022-08-03,PO-593607,VTR-2025-8809
2,2022-01-26,2,10,88,1,7996,1893.56,Pending,Direktvergabe,,,PO-688875,VTR-2024-8149
3,2024-03-09,3,14,100,6,4773,1265.29,Approved,Direktvergabe,997,2024-03-13,PO-308492,VTR-2024-5042
4,2023-10-14,1,39,176,1,6785,4280.71,Rejected,Vertrag,418,2023-10-19,,VTR-2022-9912
5,2023-03-21,2,36,131,4,5926,220.69,Approved,Vertrag,327,2023-03-27,PO-194713,
6,2025-01-13,1,32,9,2,518,2874.75,Approved,Direktvergabe,511,2025-01-18,PO-290435,VTR-2021-1337
7,2025-01-01,3,11,177,10,10208,486.27,Approved,Vertrag,999,2025-01-03,,VTR-2022-4592
8,2025-06-20,3,38,168,4,10651,422.1,Approved,Direktvergabe,718,2025-06-26,PO-192851,
9,2022-09-16,3,29,32,2,18437,1517.35,Approved,Ausschreibung,216,2022-09-21,PO-914986,VTR-2025-3579
10,2024-05-23,2,38,116,11,9503,1367.91,Rejected,Direktvergabe,861,2024-05-29,PO-324002,
11,2024-07-04,2,21,103,10,17146,1608.51,Approved,Ausschreibung,570,2024-07-09,,VTR-2021-4447
12,2024-07-23,1,30,97,13,14984,2405.53,Rejected,Direktvergabe,363,2024-07-25,PO-255974,
13,2025-02-07,2,37,30,7,4424,1107.58,Approved,Vertrag,28,2025-02-14,PO-791274,VTR-2025-1843
14,2023-10-19,1,39,106,11,19942,2226.06,Approved,Vertrag,960,2023-10-26,PO-204404,
15,2022-06-16,1,14,95,15,5769,3422.99,Approved,Direktvergabe,408,2022-06-23,PO-464254,VTR-2024-4808
16,2022-06-20,1,11,189,6,4364,2408.57,Pending,Vertrag,,,PO-164636,
17,2025-01-08,1,38,43,14,1512,1164.15,Approved,Direktvergabe,461,2025-01-13,,VTR-2022-8504
18,2022-04-24,2,38,11,1,4359,1495.41,Pending,Vertrag,,,PO-889582,
19,2022-07-18,2,36,149,13,18139,590.2,Approved,Ausschreibung,323,2022-07-21,PO-821363,VTR-2022-1507
20,2024-04-15,1,22,61,12,15989,723.64,Approved,Vertrag,124,2024-04-19,,VTR-2021-4516
21,2024-05-11,2,16,33,15,4313,1286.66,Approved,Direktvergabe,301,2024-05-14,PO-910620,
22,2022-02-08,1,15,6,12,1144,3062.44,Approved,Ausschreibung,547,2022-02-15,PO-390877,VTR-2025-4314
23,2023-11-03,2,38,134,10,16898,527.73,Approved,Ausschreibung,586,2023-11-10,,VTR-2023-9347
