hr_fact_id,date,employee_key,department_key,job_key,location_key,salary,attrition_flag
1,2024-04-26,1,21,815,908,82536,0
2,2025-02-23,1,31,815,900,82536,0
3,2023-06-04,2,36,810,907,54375,0
4,2024-05-12,2,39,805,909,54375,0
5,2025-03-31,2,24,806,900,54375,0
6,2024-04-01,4,32,804,911,52088,0
7,2024-11-10,4,32,807,909,52088,0
8,2025-05-22,4,37,808,910,52088,0
9,2020-04-15,5,28,814,908,78723,0
10,2020-12-19,5,30,800,901,78723,0
11,2021-08-24,5,36,804,911,78723,0
12,2022-04-14,5,26,803,904,78723,0
13,2022-10-17,5,18,803,905,78723,0
14,2023-06-19,5,16,811,907,78723,0
15,2024-06-03,5,10,803,908,78723,0
16,2025-02-24,5,18,800,903,78723,0
17,2024-03-15,6,29,806,911,50672,0
18,2024-12-11,6,36,804,904,50672,0
19,2025-01-15,7,20,810,903,84299,0
20,2023-08-13,8,12,812,900,79714,0
21,2024-04-06,8,14,815,901,79714,0
22,2024-10-18,8,29,815,905,79714,0
23,2025-05-06,8,24,813,904,79714,0
24,2016-07-10,9,27,813,907,40075,0
25,2017-04-18,9,40,812,910,40075,0
26,2017-11-19,9,10,805,905,41714,0
27,2018-05-31,9,13,807,907,41714,0
28,2018-12-18,9,38,805,910,41714,0
29,2019-06-29,9,22,804,910,41714,0
30,2020-03-02,9,30,808,909,41714,0
31,2020-10-20,9,32,807,900,41714,0
32,2021-08-10,9,38,800,907,41714,0
33,2022-06-08,9,23,808,907,41714,0
34,2023-01-13,9,15,808,902,43205,0
35,2023-12-27,9,17,805,911,43205,0
36,2024-07-29,9,10,804,903,46073,0
37,2025-02-18,9,28,804,901,46073,0
38,2017-07-27,10,15,814,900,75919,0
39,2018-03-23,10,27,806,902,75919,0
40,2019-02-16,10,23,813,901,75919,0
41,2019-12-05,10,25,808,910,75919,0
42,2020-10-28,10,35,810,908,75919,0
43,2021-08-05,10,39,801,900,75919,0
44,2022-07-01,10,26,805,907,82643,0
45,2023-03-04,10,38,811,901,82643,0
46,2024-01-15,10,29,801,905,82643,0
47,2024-11-05,10,35,810,909,82643,0
48,2021-07-30,11,25,807,900,59268,0
49,2022-05-26,11,31,802,902,59268,0
