campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2023-04-02,8,2,600,400,391.06,83,13731
2,2024-11-17,90,9,603,400,406.6,76,3589
3,2023-01-28,47,2,604,401,420.11,36,13298
4,2024-03-14,82,2,603,402,76.5,40,11506
5,2024-08-10,4,12,600,401,196.34,14,5087
6,2025-03-30,68,8,605,403,366.52,78,8371
7,2023-05-24,28,5,603,402,165.77,55,5060
8,2023-02-26,59,13,605,402,216.27,37,5161
9,2024-11-28,34,13,602,403,365.62,48,5433
10,2024-04-19,14,7,600,400,289.06,73,1986
11,2022-12-02,44,5,603,403,213.89,77,6711
12,2023-01-29,59,15,602,401,372.47,52,10507
13,2022-01-01,52,2,601,403,306.67,22,3508
14,2024-06-18,58,12,604,401,78.37,53,6057
15,2024-06-14,56,12,600,400,293.7,90,1776
16,2024-11-22,74,13,602,401,226.1,24,11976
17,2023-08-08,83,3,604,401,495.45,94,4628
18,2023-03-23,59,2,601,402,372.86,42,13716
19,2023-12-18,65,6,605,402,154.03,24,5729
20,2023-09-25,26,1,602,403,421.47,73,12158
21,2024-02-02,21,5,602,402,417.37,98,3720
22,2022-08-26,96,12,603,403,58.59,78,13580
23,2023-06-22,49,9,605,402,409.21,100,13891
24,2024-02-17,84,9,603,403,104.07,62,3958
25,2022-03-09,82,7,605,400,193.46,66,949
26,2023-12-01,65,4,602,401,227.23,35,14112
27,2024-10-10,27,8,602,401,63.82,18,12379
28,2025-02-01,72,13,600,403,455.76,59,3483
29,2022-05-03,100,15,604,402,310.24,36,7239
30,2022-11-13,75,11,601,400,101.63,86,14299
31,2024-06-10,39,11,600,400,169.99,51,3851
32,2022-06-18,24,14,603,401,475.26,46,11911
33,2024-05-11,54,4,602,403,238.95,61,5728
34,2022-10-02,32,14,601,403,300.87,50,7285
35,2024-10-23,30,7,604,400,467.37,56,2582
36,2025-02-24,85,1,600,403,470.45,40,6463
37,2022-02-15,2,11,600,400,198.26,59,11430
38,2022-06-21,79,6,602,402,88.45,52,2844
39,2022-01-12,74,3,600,402,345.4,82,4007
40,2023-06-26,10,12,605,400,343.26,71,1327
41,2022-12-25,98,4,604,403,151.32,69,9310
42,2024-08-10,48,5,605,403,465.22,57,12945
43,2024-01-01,24,3,605,400,133.42,59,14174
44,2022-05-08,67,5,603,401,199.33,27,4757
45,2024-01-21,50,4,602,403,204.21,10,3095
46,2024-01-17,3,7,603,400,93.99,89,11156
47,2024-07-01,94,12,600,401,96.76,44,7229
48,2024-10-18,52,12,605,400,383.19,58,9379
49,2022-09-24,13,13,605,403,79.09,100,7280
50,2024-04-21,70,4,602,402,327.75,74,14716
51,2023-03-14,36,13,605,403,450.84,86,2351
52,2023-07-29,55,4,604,402,406.91,78,10521
53,2024-02-03,66,6,605,403,69.85,15,6649
54,2025-04-29,97,3,603,401,415.17,39,2571
55,2022-10-10,99,7,602,403,128.66,34,1390
56,2025-01-18,71,7,602,402,488.24,68,610
57,2023-09-12,10,11,601,401,145.1,6,10634
