sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
1,2025-09-09,1,6,473,403,107,13597.59,1
2,2022-02-09,2,7,191,401,123,17483.59,1
3,2023-06-19,3,8,455,402,72,28513.49,1
4,2024-10-22,4,7,342,402,61,20733.74,1
5,2024-06-20,5,6,387,400,23,14301.3,1
6,2024-08-30,7,6,210,402,55,12924.02,1
7,2022-09-03,8,6,210,401,117,14327.1,1
8,2022-05-02,9,7,254,401,163,20310.61,1
9,2025-06-03,10,7,204,402,141,17179.17,1
10,2023-09-20,12,8,397,402,99,26398.23,1
11,2024-05-01,13,7,207,403,90,16692.9,1
12,2022-10-19,14,8,85,400,42,25103.24,1
13,2025-11-12,15,6,442,401,93,13861.5,1
14,2024-07-06,16,8,65,400,143,26298.65,1
15,2024-02-02,17,8,467,403,164,27572.28,1
16,2025-01-02,19,6,183,401,140,12524.08,1
17,2022-08-16,20,8,51,403,31,29740.96,1
18,2023-05-10,21,7,73,400,145,17006.09,1
19,2025-09-20,23,7,286,401,193,21146.26,1
20,2022-09-28,25,6,378,401,177,13797.04,1
21,2025-06-16,26,6,260,401,119,14750.26,1
22,2022-09-05,27,7,121,402,105,20409.55,1
23,2024-05-25,28,8,129,403,197,25627.5,1
24,2023-01-30,30,6,283,401,104,14795.63,1
25,2023-09-29,31,7,423,402,24,21726.44,1
26,2023-03-14,33,8,208,401,117,27404.31,1
27,2023-03-10,36,7,439,400,116,19754.72,1
28,2023-03-11,37,6,355,403,140,12210.25,1
29,2023-01-24,38,6,19,401,82,15421.73,1
30,2023-02-26,39,8,309,401,103,24968.58,1
31,2024-10-08,40,8,19,402,11,29141.77,1
32,2023-09-01,42,8,219,401,164,25758.23,1
33,2023-07-02,43,6,361,400,88,12007.02,1
34,2023-09-09,44,7,405,401,69,16470.71,1
35,2025-06-25,45,8,227,400,148,24203.28,1
36,2022-03-22,46,7,321,403,75,19952.27,1
37,2023-08-13,47,6,238,402,127,12495.75,1
38,2022-12-26,48,7,179,402,95,19337.44,1
39,2025-07-06,49,7,446,400,178,18334.24,1
40,2022-02-09,50,7,271,400,184,21216.0,1
41,2022-08-22,51,6,199,401,78,12748.36,1
42,2023-11-08,52,6,55,400,77,12564.97,1
43,2023-07-29,53,7,366,403,152,20160.14,1
44,2023-07-19,54,7,35,403,167,16938.86,1
45,2024-10-03,59,6,11,403,69,15271.32,1
46,2025-11-05,62,7,124,402,65,18337.97,1
47,2023-06-06,63,6,205,403,113,13657.03,1
48,2024-11-14,65,7,334,401,90,21549.58,1
49,2022-04-15,66,8,367,401,64,25847.69,1
50,2022-11-14,67,6,475,400,130,14690.5,1
51,2024-10-23,68,6,423,401,197,15651.62,1
52,2025-01-09,69,6,481,400,46,13841.17,1
53,2022-11-03,70,7,203,402,110,21898.89,1
54,2023-02-19,71,7,498,403,124,21852.56,1
55,2023-07-04,72,8,419,403,130,24684.53,1
56,2025-03-04,73,6,15,401,57,13960.54,1
57,2024-05-30,75,8,294,400,41,28859.37,1
58,2022-11-24,77,7,137,402,46,21367.44,1
59,2023-11-21,79,6,357,403,134,12003.83,1
60,2023-12-05,81,7,29,403,104,19944.89,1
61,2025-02-24,82,7,448,401,111,18731.05,1
62,2023-03-22,84,6,41,402,97,15193.85,1
63,2024-12-24,85,7,423,403,10,21970.25,1
64,2025-07-30,86,6,469,403,194,15063.16,1
65,2022-09-04,87,7,1,401,110,16806.2,1
66,2024-01-15,88,6,317,402,25,13971.86,1
67,2025-02-16,89,7,427,400,126,19004.76,1
68,2022-04-16,90,8,403,402,13,24109.99,1
69,2025-05-20,91,6,498,402,169,12499.6,1
70,2024-08-31,93,6,144,400,80,14464.87,1
71,2024-07-24,94,7,62,400,195,18357.61,1
72,2025-01-29,95,6,81,403,144,15443.33,1
73,2025-11-14,97,8,47,403,106,26201.27,1
74,2022-06-04,98,7,27,401,87,17779.62,1
75,2025-01-05,99,8,126,401,180,29166.46,1
76,2024-01-07,100,7,31,401,170,17845.99,1
77,2023-09-15,101,7,2,401,154,18298.18,1
78,2022-06-04,103,7,465,401,185,20254.12,1
79,2023-02-13,105,6,103,402,39,13500.5,1
80,2024-11-08,106,8,166,401,64,25803.72,1
81,2024-06-13,108,8,266,402,128,29281.21,1
82,2025-05-10,109,8,187,401,179,25171.06,1
83,2023-11-05,110,6,190,402,45,13199.35,1
84,2024-06-08,111,8,39,401,109,29907.35,1
85,2024-05-26,112,6,153,401,32,14015.46,1
86,2023-02-23,113,7,274,401,62,19006.52,1
87,2025-12-17,114,6,15,402,192,13613.61,1
88,2025-05-13,115,7,390,402,106,16241.92,1
89,2022-04-17,116,7,481,401,180,20788.7,1
90,2023-03-31,119,8,99,402,96,24048.59,1
91,2025-05-31,121,8,423,402,43,25111.21,1
92,2023-08-18,122,8,440,400,28,24826.62,1
93,2024-03-16,124,7,452,401,178,17085.64,1
94,2022-09-17,125,8,204,403,86,25612.28,1
95,2023-10-31,126,7,409,402,38,16095.93,1
96,2023-08-10,127,7,206,403,128,21865.39,1
97,2022-05-12,130,7,354,400,40,17862.23,1
98,2022-01-16,132,7,397,401,83,16600.54,1
99,2025-08-25,135,7,250,402,192,17234.12,1
100,2024-03-27,136,8,419,400,176,27266.64,1
101,2023-11-21,138,8,485,402,107,27275.33,1
102,2025-12-08,141,7,225,401,154,20312.84,1
103,2022-07-29,145,8,36,402,66,27327.7,1
104,2025-03-01,146,6,473,401,94,13633.79,1
105,2025-09-29,147,6,449,400,59,15609.35,1
106,2024-01-05,148,6,407,403,2,13044.49,1
107,2023-01-24,152,6,459,400,59,13320.86,1
108,2022-04-15,155,8,80,402,198,24278.3,1
109,2023-07-07,156,8,90,403,117,25844.74,1
110,2022-08-22,158,7,230,400,136,16975.09,1
111,2023-11-03,159,6,234,402,199,14480.96,1
112,2025-10-07,160,6,47,400,64,13049.36,1
113,2023-07-20,162,7,410,402,59,16451.79,1
114,2025-08-30,163,6,483,401,107,12622.08,1
115,2024-06-17,164,8,86,401,133,28426.4,1
116,2024-07-07,168,6,174,401,67,14500.37,1
117,2025-01-09,169,8,239,402,189,24762.51,1
118,2025-02-19,170,6,413,403,117,15462.19,1
119,2024-02-21,171,7,81,400,191,18257.4,1
120,2023-09-05,173,7,278,403,46,20759.42,1
121,2023-04-08,174,7,249,401,97,21314.09,1
122,2025-09-19,175,8,410,402,6,25631.44,1
123,2022-02-07,176,8,221,401,162,27416.46,1
124,2023-01-19,177,8,493,401,95,28223.05,1
125,2023-06-03,179,7,235,402,27,17745.46,1
126,2022-07-08,180,6,264,401,68,14696.99,1
127,2022-02-08,181,8,283,400,56,29143.04,1
128,2023-12-07,182,6,320,400,116,13410.82,1
129,2023-09-07,185,7,490,401,181,19122.1,1
130,2025-01-01,188,7,105,403,21,18868.49,1
131,2023-11-10,189,8,247,401,136,25320.15,1
132,2023-12-07,190,7,221,401,52,19454.7,1
133,2022-06-15,191,7,72,401,150,21425.3,1
134,2025-10-12,192,8,34,402,182,25326.44,1
135,2023-07-02,193,8,255,402,171,29852.17,1
136,2022-07-22,194,6,52,402,186,13586.57,1
137,2022-01-25,195,7,12,400,131,19683.3,1
138,2024-12-23,197,7,398,403,190,16729.38,1
139,2024-08-26,198,7,299,402,20,21099.59,1
140,2022-10-09,199,6,493,401,48,15280.31,1
141,2022-07-03,201,7,222,403,199,16431.34,1
142,2025-12-19,202,6,300,401,128,13403.34,1
143,2023-08-08,204,7,128,401,105,16793.23,1
144,2025-01-26,205,6,116,400,103,14868.92,1
145,2024-09-10,209,6,183,403,110,13324.36,1
146,2022-04-16,210,7,364,401,38,16807.39,1
147,2025-04-01,211,7,492,400,145,21303.77,1
148,2024-02-28,212,7,8,402,150,18460.15,1
149,2023-04-29,213,8,441,401,16,28972.87,1
150,2023-07-20,214,6,203,401,162,13432.25,1
151,2022-07-20,216,6,52,403,43,15907.88,1
152,2022-10-22,217,6,21,403,140,15310.97,1
153,2023-03-07,218,8,399,403,172,28019.89,1
154,2022-11-26,219,8,214,402,146,29565.09,1
155,2024-08-06,221,8,365,400,139,24521.75,1
156,2022-04-10,222,8,485,401,161,26581.35,1
157,2024-05-09,223,7,470,400,81,19784.27,1
158,2022-01-28,224,6,283,402,59,15015.75,1
159,2023-06-09,225,8,374,400,118,28636.12,1
160,2025-03-13,226,8,207,403,145,27864.46,1
161,2025-04-01,228,8,360,403,162,27990.0,1
162,2022-11-16,229,7,14,401,36,20419.95,1
163,2024-03-15,230,7,53,403,21,18527.88,1
164,2025-05-09,231,8,427,401,181,28143.77,1
165,2025-09-17,232,6,310,402,170,13621.85,1
166,2022-07-21,233,6,460,400,186,12852.17,1
167,2025-04-07,235,6,75,401,141,15591.14,1
168,2022-03-12,236,7,209,400,36,21138.2,1
169,2025-05-25,237,8,241,401,173,29378.16,1
170,2022-03-25,238,6,228,401,18,14648.46,1
171,2025-04-23,239,6,460,401,21,13551.57,1
172,2025-02-25,240,6,53,400,169,15144.05,1
173,2024-12-26,241,8,9,403,190,28072.03,1
174,2025-10-16,242,7,496,401,124,20226.33,1
175,2024-12-05,243,6,58,401,109,13941.71,1
176,2024-07-27,244,6,25,401,190,15265.88,1
177,2025-01-20,245,6,338,400,153,15668.17,1
178,2022-01-19,246,7,103,403,133,20732.22,1
179,2024-03-22,250,6,273,400,93,14340.19,1
180,2022-03-06,251,7,435,400,25,21339.17,1
181,2023-04-06,252,8,92,403,191,26748.73,1
182,2022-08-17,254,8,180,403,196,28144.36,1
183,2023-01-17,256,8,233,402,138,26626.39,1
184,2024-04-25,258,6,131,403,101,14532.14,1
185,2025-10-31,259,7,161,401,74,20655.9,1
186,2024-01-06,262,8,144,401,23,29930.82,1
187,2023-05-07,263,6,188,400,187,13988.6,1
188,2024-02-08,264,8,129,403,50,27028.18,1
189,2024-01-17,266,6,273,402,180,13652.77,1
190,2022-08-27,267,7,165,403,192,16765.35,1
191,2025-10-14,268,7,276,403,117,16325.52,1
192,2025-04-21,269,8,165,402,199,25591.05,1
193,2022-03-23,271,8,96,400,57,27299.84,1
194,2022-06-11,272,6,88,402,24,13995.38,1
195,2023-08-25,273,6,385,403,137,12806.51,1
196,2024-12-29,274,8,194,401,184,24062.39,1
197,2023-08-11,277,8,240,401,185,27046.9,1
198,2024-08-27,278,7,283,403,51,17292.42,1
199,2022-03-05,279,8,352,401,85,24242.09,1
200,2025-04-09,281,6,139,402,131,15546.37,1
201,2024-06-08,282,8,176,402,7,25986.9,1
202,2025-10-04,284,8,469,401,145,25434.78,1
203,2022-09-23,286,7,135,401,184,20537.0,1
204,2025-07-06,287,7,237,403,13,21702.21,1
205,2022-05-17,288,8,448,402,32,28652.42,1
206,2024-06-16,289,8,166,401,138,28939.92,1
207,2024-06-03,290,6,421,403,63,15441.0,1
208,2025-08-24,292,7,323,400,34,20224.86,1
209,2025-07-21,293,6,329,400,39,13361.78,1
210,2025-06-09,294,7,116,400,41,19427.23,1
211,2024-05-10,295,6,165,400,110,12613.39,1
212,2025-05-29,297,8,265,403,169,26381.04,1
213,2025-04-21,298,7,267,403,107,16350.92,1
214,2023-12-06,299,6,282,403,18,13795.43,1
215,2022-06-11,300,8,412,400,69,24930.33,1
216,2025-01-22,301,8,291,401,152,24624.57,1
217,2025-08-13,302,8,308,402,66,29321.61,1
218,2023-06-19,303,8,391,402,146,28473.13,1
219,2023-01-12,304,6,211,403,68,14336.7,1
220,2024-12-31,306,6,442,401,52,13491.08,1
221,2024-10-17,307,8,94,400,144,27263.95,1
222,2025-11-11,308,7,10,401,197,19994.19,1
223,2025-03-18,313,7,445,402,20,21892.39,1
224,2024-12-16,315,6,231,403,140,14024.05,1
225,2022-04-11,316,6,459,402,128,13117.65,1
226,2022-12-19,317,8,244,403,171,28832.14,1
227,2022-11-18,318,7,444,401,3,18286.36,1
228,2025-10-16,319,8,195,401,66,29188.37,1
229,2023-07-22,321,8,204,403,86,26837.28,1
230,2024-07-22,322,6,129,402,102,15568.66,1
231,2025-02-03,323,8,162,402,33,27092.18,1
232,2023-02-20,325,6,414,403,16,13145.34,1
233,2022-10-15,326,7,470,401,178,18169.61,1
234,2023-11-12,328,8,25,402,166,24131.0,1
235,2023-02-16,329,6,155,403,84,14394.35,1
236,2022-03-18,330,6,167,402,18,15409.89,1
237,2023-03-06,331,7,327,402,110,16240.89,1
238,2022-07-26,332,8,293,401,111,24895.25,1
239,2025-10-08,335,7,403,401,57,17939.88,1
240,2023-11-11,338,7,74,400,158,17731.54,1
241,2024-12-26,339,7,89,402,39,21154.69,1
242,2023-01-27,341,7,458,403,168,21475.3,1
243,2023-05-14,343,6,426,403,105,15727.34,1
244,2023-08-01,346,7,450,400,81,18028.19,1
245,2024-12-04,348,8,178,401,50,27594.41,1
246,2025-06-19,349,7,370,403,70,19089.84,1
247,2022-06-09,350,7,293,403,163,20408.0,1
248,2023-04-26,351,7,165,403,71,18494.55,1
249,2023-05-27,352,8,344,403,158,26549.57,1
250,2024-03-31,353,8,338,402,60,25009.43,1
251,2022-04-23,354,6,265,401,65,15279.01,1
252,2023-08-21,357,6,438,400,153,12943.66,1
253,2022-01-05,359,7,98,401,111,17166.0,1
254,2025-12-01,360,7,449,401,33,18473.86,1
255,2023-03-25,362,6,233,401,150,13557.51,1
256,2022-03-26,364,8,306,403,86,29845.31,1
257,2023-10-03,365,7,170,403,142,18881.13,1
258,2023-12-22,368,6,419,400,196,12179.54,1
259,2023-09-17,369,8,362,401,135,28223.18,1
260,2022-02-10,371,7,56,403,59,20321.25,1
261,2025-02-02,372,6,227,400,194,15651.7,1
262,2025-11-19,373,7,495,401,163,21004.37,1
263,2023-11-19,374,8,461,400,105,26798.42,1
264,2024-03-06,375,6,175,402,107,12561.7,1
265,2024-09-14,377,8,388,403,56,29458.21,1
266,2024-06-28,378,6,375,401,164,13111.18,1
267,2025-05-30,379,7,9,402,156,18251.82,1
268,2025-06-18,380,6,1,401,47,13065.63,1
269,2023-02-20,381,7,189,401,116,17118.21,1
270,2024-07-06,382,8,216,402,117,24444.71,1
271,2022-11-29,383,6,207,401,22,13410.88,1
272,2023-10-23,384,6,30,403,192,13355.4,1
273,2025-09-06,385,7,408,401,83,16943.01,1
274,2024-11-16,386,6,44,401,185,14367.31,1
275,2022-08-07,389,8,279,402,120,27135.25,1
276,2024-05-23,390,8,120,403,144,29288.08,1
277,2024-12-02,391,6,407,402,54,15358.13,1
278,2024-10-18,392,6,127,402,166,15329.72,1
279,2025-10-11,394,7,299,402,180,18741.87,1
280,2025-08-10,395,7,145,400,150,17493.43,1
281,2022-10-23,397,7,425,402,32,17414.91,1
282,2022-06-13,398,6,400,402,116,15646.16,1
283,2024-05-07,400,8,433,403,114,28434.62,1
284,2024-06-15,401,6,250,401,19,14118.9,1
285,2024-07-01,402,7,181,401,40,17264.79,1
286,2025-06-21,404,6,409,400,33,12834.95,1
287,2023-03-21,405,7,237,401,137,21776.7,1
288,2025-05-11,406,6,486,400,157,12840.13,1
289,2025-03-06,408,6,187,403,136,12150.77,1
290,2025-03-21,409,8,392,400,183,29585.06,1
291,2022-06-04,410,7,24,401,87,20384.6,1
292,2023-03-03,414,7,74,402,189,16570.08,1
293,2023-06-27,415,8,90,400,112,24060.65,1
294,2023-07-26,416,6,342,401,125,12551.74,1
295,2024-03-22,417,7,273,400,197,18647.6,1
296,2025-08-22,418,8,174,401,82,25446.36,1
297,2024-03-08,419,7,301,400,87,19687.67,1
298,2023-01-24,421,6,218,403,103,15078.66,1
299,2025-03-18,422,7,114,402,28,19895.75,1
300,2023-09-11,426,6,350,401,10,13289.77,1
301,2023-03-08,428,8,391,403,123,27157.01,1
302,2023-03-19,432,7,109,402,21,21577.26,1
303,2022-11-27,433,6,8,400,28,13474.63,1
304,2024-03-24,435,7,128,401,141,18518.72,1
305,2024-09-02,436,7,323,401,111,16182.7,1
306,2025-07-12,437,6,55,403,158,14005.36,1
307,2023-02-04,438,8,369,401,196,24577.89,1
308,2025-04-19,442,7,1,402,118,21221.65,1
309,2023-06-30,443,8,159,403,102,27908.79,1
310,2025-07-24,445,8,10,402,178,29500.29,1
311,2023-06-01,446,7,396,403,174,17548.43,1
312,2023-05-23,447,8,258,401,131,24972.13,1
313,2024-12-11,448,7,489,401,118,21737.96,1
314,2025-06-11,449,8,267,402,44,29574.06,1
315,2025-03-11,452,6,320,402,154,12858.78,1
316,2023-10-26,453,6,165,403,110,15423.24,1
317,2024-03-18,454,7,309,401,195,18248.39,1
318,2022-04-06,456,8,379,401,135,27901.95,1
319,2024-07-13,457,6,381,402,94,14040.0,1
320,2024-11-12,458,7,134,401,168,21104.76,1
321,2024-04-24,459,7,218,401,77,19407.22,1
322,2024-05-19,460,8,465,401,5,28011.44,1
323,2023-11-16,461,8,391,400,71,29335.45,1
324,2022-07-11,462,7,161,403,61,19671.65,1
