opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,,ACC012178,Opportunity 1,Verhandlung,4290.29,60.8,2024-07-19,2024-06-08,Empfehlung,Bestandskunde - Zusatzprodukt,1758
OPP00000002,,ACC016660,Opportunity 2,Verhandlung,33314.11,52.8,2021-10-19,2021-05-19,Social Media,Neukunde,9986
OPP00000003,,ACC007735,Opportunity 3,Verhandlung,22075.58,52.6,2022-11-29,2022-09-29,Partner,Bestandskunde - Zusatzprodukt,
OPP00000004,,ACC000946,Opportunity 4,Verhandlung,12057.92,78.7,2025-09-13,2025-05-24,Telefonakquise,Neukunde,11999
OPP00000005,,ACC013631,Opportunity 5,Closed Lost,17109.74,0.0,2021-07-29,2021-03-09,Social Media,Bestandskunde - Zusatzprodukt,11439
OPP00000006,,ACC004696,Opportunity 6,Verhandlung,13380.43,49.3,2025-01-11,2024-10-10,Partner,Neukunde,3832
OPP00000007,,ACC000531,Opportunity 7,Angebot,11994.52,35.0,2024-03-30,2023-10-02,Social Media,Neukunde,
OPP00000008,,ACC018677,Opportunity 8,Closed Lost,37109.4,0.0,2021-11-03,2021-08-18,Telefonakquise,Bestandskunde - Zusatzprodukt,5900
OPP00000009,,ACC016990,Opportunity 9,Qualifizierung,34907.39,24.4,2022-01-18,2021-12-14,Social Media,Neukunde,13477
OPP00000010,10,ACC019620,Opportunity 10,Closed Won,42867.18,100.0,2024-05-05,2024-03-17,Telefonakquise,Neukunde,
OPP00000011,,ACC003090,Opportunity 11,Angebot,16128.22,28.7,2023-10-31,2023-06-29,Partner,Bestandskunde - Zusatzprodukt,6158
OPP00000012,,ACC006907,Opportunity 12,Closed Lost,14120.49,0.0,2024-07-02,2024-04-14,Telefonakquise,Bestandskunde - Zusatzprodukt,1848
OPP00000013,,ACC017298,Opportunity 13,Interessent,47581.75,62.5,2024-02-22,2023-09-05,Messe,Neukunde,
OPP00000014,14,ACC010696,Opportunity 14,Closed Won,25882.16,100.0,2022-02-23,2021-11-06,Empfehlung,Neukunde,9320
OPP00000015,,ACC010326,Opportunity 15,Angebot,1894.03,21.7,2023-12-14,2023-10-23,Empfehlung,Neukunde,8788
OPP00000016,,ACC013333,Opportunity 16,Qualifizierung,11925.03,38.8,2022-04-22,2021-12-17,Partner,Bestandskunde - Zusatzprodukt,2624
OPP00000017,17,ACC006244,Opportunity 17,Closed Won,16583.93,100.0,2022-02-09,2021-11-23,Telefonakquise,Neukunde,12253
OPP00000018,,ACC009413,Opportunity 18,Angebot,27252.58,63.3,2022-06-11,2022-04-12,Telefonakquise,Neukunde,7207
OPP00000019,,ACC006100,Opportunity 19,Qualifizierung,21482.65,15.1,2023-09-10,2023-06-19,Social Media,Bestandskunde - Upgrade,7203
OPP00000020,,ACC015776,Opportunity 20,Qualifizierung,14343.73,24.5,2023-07-23,2023-02-05,Empfehlung,Neukunde,2216
OPP00000021,,ACC014123,Opportunity 21,Qualifizierung,46428.37,70.1,2025-05-20,2025-03-18,Webseite,Bestandskunde - Upgrade,
OPP00000022,,ACC011895,Opportunity 22,Angebot,27674.45,24.1,2022-02-18,2022-01-02,Social Media,Bestandskunde - Upgrade,
OPP00000023,23,ACC013070,Opportunity 23,Closed Won,42304.56,100.0,2025-04-23,2024-12-25,Messe,Neukunde,
OPP00000024,,ACC000074,Opportunity 24,Closed Lost,43935.06,0.0,2025-04-09,2024-11-15,Partner,Neukunde,
OPP00000025,,ACC015778,Opportunity 25,Angebot,14543.23,16.8,2023-12-07,2023-08-22,Partner,Bestandskunde - Zusatzprodukt,
OPP00000026,26,ACC010756,Opportunity 26,Closed Won,31444.27,100.0,2023-12-10,2023-07-07,Social Media,Bestandskunde - Zusatzprodukt,6166
OPP00000027,,ACC012113,Opportunity 27,Closed Lost,3460.97,0.0,2024-10-20,2024-07-13,Webseite,Neukunde,10739
OPP00000028,,ACC001168,Opportunity 28,Verhandlung,33098.35,35.6,2025-02-21,2024-12-22,Empfehlung,Bestandskunde - Zusatzprodukt,14852
OPP00000029,,ACC010025,Opportunity 29,Qualifizierung,41287.13,12.4,2024-11-22,2024-09-09,Telefonakquise,Neukunde,8581
OPP00000030,,ACC002854,Opportunity 30,Verhandlung,28991.18,22.8,2025-02-27,2025-01-22,Webseite,Neukunde,873
OPP00000031,31,ACC010409,Opportunity 31,Closed Won,30350.91,100.0,2024-03-14,2024-01-30,Messe,Bestandskunde - Zusatzprodukt,13264
OPP00000032,,ACC008471,Opportunity 32,Verhandlung,22193.19,44.3,2021-06-23,2021-04-26,Partner,Bestandskunde - Zusatzprodukt,12360
OPP00000033,,ACC018407,Opportunity 33,Closed Lost,43903.69,0.0,2024-01-28,2023-12-12,Social Media,Bestandskunde - Upgrade,10542
OPP00000034,,ACC002447,Opportunity 34,Verhandlung,47102.55,56.6,2022-08-31,2022-05-24,Webseite,Bestandskunde - Zusatzprodukt,3575
OPP00000035,,ACC018670,Opportunity 35,Angebot,44160.62,22.8,2024-10-22,2024-05-01,Telefonakquise,Neukunde,12460
OPP00000036,,ACC018505,Opportunity 36,Qualifizierung,33653.66,36.5,2025-02-03,2024-12-03,Telefonakquise,Bestandskunde - Upgrade,6356
OPP00000037,,ACC003408,Opportunity 37,Closed Lost,934.51,0.0,2022-07-11,2022-02-23,Social Media,Bestandskunde - Upgrade,4719
OPP00000038,,ACC018322,Opportunity 38,Qualifizierung,27984.48,79.4,2024-04-12,2024-02-26,Empfehlung,Neukunde,14056
OPP00000039,,ACC016335,Opportunity 39,Qualifizierung,29824.39,17.2,2025-06-06,2025-02-04,Webseite,Bestandskunde - Upgrade,
OPP00000040,,ACC017190,Opportunity 40,Qualifizierung,11992.78,21.1,2022-02-13,2021-09-27,Partner,Neukunde,8365
OPP00000041,,ACC009109,Opportunity 41,Qualifizierung,30770.62,61.2,2024-09-23,2024-06-07,Social Media,Bestandskunde - Upgrade,8592
OPP00000042,42,ACC007575,Opportunity 42,Closed Won,44306.88,100.0,2022-07-28,2022-06-07,Empfehlung,Bestandskunde - Upgrade,4443
OPP00000043,43,ACC004830,Opportunity 43,Closed Won,42184.96,100.0,2023-10-08,2023-06-22,Empfehlung,Bestandskunde - Zusatzprodukt,13473
OPP00000044,44,ACC011936,Opportunity 44,Closed Won,4226.63,100.0,2022-07-14,2022-06-09,Partner,Neukunde,
OPP00000045,,ACC019956,Opportunity 45,Closed Lost,18642.96,0.0,2023-08-31,2023-03-25,Empfehlung,Bestandskunde - Zusatzprodukt,14709
OPP00000046,,ACC007874,Opportunity 46,Angebot,1408.88,14.7,2022-11-04,2022-06-22,Partner,Neukunde,10078
OPP00000047,47,ACC008881,Opportunity 47,Closed Won,46193.37,100.0,2025-04-27,2025-03-19,Empfehlung,Neukunde,11795
OPP00000048,,ACC012521,Opportunity 48,Angebot,38891.39,67.8,2023-03-16,2022-12-28,Webseite,Neukunde,15405
OPP00000049,,ACC007616,Opportunity 49,Angebot,7018.06,31.3,2024-05-12,2023-12-25,Messe,Neukunde,12938
OPP00000050,50,ACC019200,Opportunity 50,Closed Won,47890.27,100.0,2024-12-06,2024-06-10,Empfehlung,Neukunde,
OPP00000051,,ACC001717,Opportunity 51,Closed Lost,35129.39,0.0,2022-01-04,2021-08-21,Social Media,Bestandskunde - Upgrade,3211
OPP00000052,,ACC012162,Opportunity 52,Angebot,35218.35,75.3,2021-12-27,2021-07-18,Telefonakquise,Neukunde,
OPP00000053,,ACC001156,Opportunity 53,Angebot,26769.67,55.2,2024-07-06,2024-01-15,Partner,Bestandskunde - Upgrade,11219
OPP00000054,,ACC008412,Opportunity 54,Angebot,6732.58,25.0,2022-05-17,2021-12-21,Messe,Bestandskunde - Zusatzprodukt,14778
OPP00000055,55,ACC017486,Opportunity 55,Closed Won,24839.88,100.0,2022-06-18,2022-03-09,Messe,Neukunde,10230
OPP00000056,,ACC008034,Opportunity 56,Angebot,5403.25,35.5,2022-04-02,2021-12-14,Partner,Bestandskunde - Zusatzprodukt,10997
OPP00000057,57,ACC009277,Opportunity 57,Closed Won,27711.25,100.0,2023-12-01,2023-10-03,Social Media,Bestandskunde - Upgrade,3517
OPP00000058,,ACC016361,Opportunity 58,Interessent,9872.72,10.8,2025-02-26,2024-09-10,Telefonakquise,Neukunde,15730
OPP00000059,,ACC005076,Opportunity 59,Verhandlung,16494.39,43.4,2022-09-14,2022-08-09,Empfehlung,Bestandskunde - Upgrade,
OPP00000060,60,ACC013503,Opportunity 60,Closed Won,17646.3,100.0,2021-12-06,2021-08-30,Webseite,Bestandskunde - Zusatzprodukt,14772
OPP00000061,,ACC003420,Opportunity 61,Angebot,5149.9,21.7,2024-04-18,2024-02-06,Empfehlung,Neukunde,
OPP00000062,,ACC007504,Opportunity 62,Verhandlung,31969.72,44.0,2022-07-28,2022-05-01,Social Media,Bestandskunde - Upgrade,9543
OPP00000063,,ACC004009,Opportunity 63,Qualifizierung,16163.45,68.4,2022-11-18,2022-05-30,Telefonakquise,Bestandskunde - Upgrade,
OPP00000064,,ACC012193,Opportunity 64,Closed Lost,4989.84,0.0,2021-10-10,2021-09-08,Social Media,Bestandskunde - Upgrade,11453
OPP00000065,65,ACC014011,Opportunity 65,Closed Won,28576.02,100.0,2024-10-13,2024-07-02,Empfehlung,Neukunde,
OPP00000066,66,ACC001198,Opportunity 66,Closed Won,37162.49,100.0,2023-01-05,2022-11-22,Social Media,Bestandskunde - Zusatzprodukt,15300
OPP00000067,,ACC001090,Opportunity 67,Interessent,40315.95,34.8,2024-07-05,2024-04-24,Social Media,Bestandskunde - Upgrade,13280
OPP00000068,68,ACC008075,Opportunity 68,Closed Won,30444.11,100.0,2023-05-31,2023-01-01,Social Media,Bestandskunde - Upgrade,9575
OPP00000069,,ACC003346,Opportunity 69,Angebot,44877.55,15.1,2021-11-23,2021-06-04,Partner,Bestandskunde - Upgrade,
OPP00000070,,ACC009060,Opportunity 70,Angebot,9894.92,72.9,2025-11-03,2025-06-12,Messe,Bestandskunde - Zusatzprodukt,
OPP00000071,,ACC015816,Opportunity 71,Qualifizierung,35869.7,66.1,2022-02-28,2021-11-04,Webseite,Bestandskunde - Upgrade,
OPP00000072,,ACC015187,Opportunity 72,Angebot,5345.51,75.9,2022-06-13,2022-04-17,Messe,Bestandskunde - Upgrade,2893
OPP00000073,,ACC016630,Opportunity 73,Qualifizierung,13242.17,52.6,2022-11-16,2022-06-21,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000074,,ACC015219,Opportunity 74,Closed Lost,29432.61,0.0,2023-08-31,2023-05-19,Messe,Bestandskunde - Upgrade,2907
OPP00000075,75,ACC011121,Opportunity 75,Closed Won,6444.05,100.0,2022-09-22,2022-08-04,Partner,Bestandskunde - Zusatzprodukt,415
OPP00000076,,ACC014546,Opportunity 76,Angebot,20317.32,37.2,2022-03-20,2021-10-30,Empfehlung,Bestandskunde - Zusatzprodukt,7734
OPP00000077,77,ACC006139,Opportunity 77,Closed Won,28609.68,100.0,2021-11-30,2021-06-05,Messe,Bestandskunde - Zusatzprodukt,
OPP00000078,78,ACC007482,Opportunity 78,Closed Won,40291.57,100.0,2022-08-06,2022-06-24,Partner,Bestandskunde - Zusatzprodukt,9169
OPP00000079,,ACC010601,Opportunity 79,Verhandlung,4894.98,47.8,2021-12-07,2021-09-10,Telefonakquise,Bestandskunde - Upgrade,
OPP00000080,,ACC009175,Opportunity 80,Angebot,3378.29,32.1,2022-01-19,2021-11-10,Webseite,Neukunde,2738
OPP00000081,,ACC002156,Opportunity 81,Verhandlung,3899.04,63.9,2024-12-29,2024-11-23,Messe,Bestandskunde - Zusatzprodukt,1464
OPP00000082,,ACC004314,Opportunity 82,Closed Lost,46471.25,0.0,2024-02-16,2023-12-03,Social Media,Neukunde,12371
OPP00000083,83,ACC010115,Opportunity 83,Closed Won,12035.47,100.0,2021-07-23,2021-04-04,Telefonakquise,Neukunde,
OPP00000084,,ACC012063,Opportunity 84,Angebot,44874.88,55.5,2025-08-05,2025-02-09,Webseite,Bestandskunde - Upgrade,15022
OPP00000085,,ACC018782,Opportunity 85,Closed Lost,24704.96,0.0,2023-05-31,2023-03-08,Partner,Bestandskunde - Upgrade,9869
