city,region,cluster_id
Freiburg,South,freiburg_oberrhein
Augsburg,South,bavaria_south
Ingolstadt,South,bavaria_south
Regensburg,South,bavaria_south
München,South,munich_metro
Stuttgart,South,stuttgart_metro
Karlsruhe,South,stuttgart_metro
Ulm,South,stuttgart_metro
Nürnberg,South,nuernberg_franken
Würzburg,South,nuernberg_franken
Frankfurt,West,frankfurt_main
Köln,West,koeln_bonn
Bonn,West,koeln_bonn
Aachen,West,koeln_bonn
Düsseldorf,West,rhine_ruhr
Dortmund,West,rhine_ruhr
Essen,West,rhine_ruhr
Bochum,West,rhine_ruhr
Duisburg,West,rhine_ruhr
Wuppertal,West,rhine_ruhr
Münster,West,rhine_ruhr
Berlin,East,berlin_metro
Potsdam,East,berlin_metro
Cottbus,East,berlin_metro
Leipzig,East,leipzig_halle
Halle,East,leipzig_halle
Jena,East,leipzig_halle
Erfurt,East,leipzig_halle
Magdeburg,East,leipzig_halle
Dresden,East,saxony_east
Chemnitz,East,saxony_east
Hamburg,North,hamburg_metro
Kiel,North,hamburg_metro
Lübeck,North,hamburg_metro
Rostock,North,hamburg_metro
Bremen,North,bremen_weser
Hannover,North,lower_saxony
Braunschweig,North,lower_saxony
Oldenburg,North,lower_saxony
Osnabrück,North,lower_saxony
Wolfsburg,North,lower_saxony
